site|state	city, state	address	zip
705|OK	Sayre, OK	2400 So 4th Route	73662
706|OK	Tulsa, OK	121 North 129 E/I-44 Exit 236	74116
707|PA	Brookville, PA	246 Allegheny Blvd	15825
708|PA	Carlisle, PA	1501 Harrisburg Pike	17013
709|PA	Mill Hall, PA	5609 Nittany Valley Drive	17751
710|PA	New Milford, PA	1623 Oliver Road	18834
711|SC	Blacksburg, SC	1011 North Mountain St	29702
712|SC	Columbia, SC	5901 Fairfield Road	29203
714|SC	Rock Hill, SC	2435 Mount Holly Road	29730
716|SD	Sioux Falls, SD	5201 Granite Lane	57107
720|TN	Fairview, TN	1420 Hwy 96 North	37062
722|TN	Knoxville, TN	800 Watt Road	37932
723|TX	Amarillo, TX	9601 I-40 E Exit 76	79118
725|TX	Baytown, TX	1876 East Freeway	77521
726|TX	Dallas, TX	7425 Bonnie View Road	75241
727|TX	Edinburg, TX	1305 East Monte Cristo Road	78539
728|TX	El Paso, TX	1301 Horizon Blvd	79928
729|TX	Houston, TX	15919 North Freeway	77090
730|TX	Laredo, TX	1011 Beltway Parkway	78041
733|TX	Lubbock, TX	602 4th Street	79401
734|TX	New Caney, TX	23412 Hwy 242	77357
735|TX	Orange, TX	7112 I-10 West	77630
736|TX	Pecos, TX	100 E Pinehurst I20 US Hwy 285	79772
737|TX	San Antonio, TX	1815 N Foster Road	78244
738|TX	Abilene, TX	I-20 Exit 277 101 N FM 707	79563
739|TX	Waco, TX	2409 So New Road	76711
740|TX	Brookshire, TX	204 South Waller Ave	77423
741|TX	Wichita Falls, TX	2311 Jacksboro Highway	76301
742|UT	Tooele, UT	1605 East Saddleback Blvd.	84074
743|UT	Nephi, UT	1597 South Main	84648
744|UT	Ogden, UT	1172 West 21st Street	84401
746|UT	Salt Lake City, UT	2025 S 900 W	84116
747|UT	Springville, UT	1460 N 1750 W	84663
748|UT	Willard, UT	600 West 750 North	84340
749|VA	Carmel Church, VA	24279 Rogers Clark Blvd.	22546
750|VA	Fort Chiswell, VA	I-81/I-77 Exit 80	24360
752|VA	Winchester, VA	1530 Rest Church Rd	22624
754|VA	Wytheville, VA	3249 Chapman Road	24382
756|WI	Black River Falls, WI	780 State Hwy 54	54615
758|WY	Casper, WY	41 SE Wyoming Blvd.	82609
759|WY	Cheyenne, WY	2250 Etchepare Drive	82007
760|WY	Cokeville, WY	10501 US Hwy 30	83114
761|WY	Evanston, WY	1920 Harrison Drive	82930
762|WY	Gillette, WY	1810 South Douglas Hwy.	82718
763|WY	Rawlins, WY	I-80 Johnson Road	82301
764|WY	Rock Springs, WY	650 Stage Coach Dr.	82901
765|CA	Thousand Palms, CA	72235 Varner Rd	92276
768|MO	Kansas City, MO	1300 N. Corrington Avenue	64120
770|NV	Winnemucca, NV	1880 W. Winnemucca Blvd	89445
772|UT	North Salt Lake, UT	885 West North Point Circle	84054
773|UT	Richfield, UT	35 East Flying J Drive	84701
774|UT	Snowville, UT	90 South Stone Road	84336
894|TX	Eagle Pass, TX		
895|MI	Woodhaven, MI	21055 West Road	48183
897|FL	Opa Locka, FL	16650 NW 27th Avenue	33054
898|VA	Emporia, VA	918 West Atlantic	23847
899|VA	South Hill, VA	1011 E. Atlantic Street	23970
900|NC	Dunn, NC	65 Sadler Road	28334
902|NE	Grand Island, NE	3335 West Wood River Road	68801
903|KS	Salina, KS	1944 N. 9th Street	67401
904|NE	Big Springs, NE	I-80 & Big Springs Road	69122
905|MT	Milltown, MT	7985 Highway 200	59851
906|MT	Columbus, MT	602 8th Avenue North	59019
907|MT	Miles City, MT	1210 South Haynes	59301
908|MT	Rocker, MT	1000 Grizzly Trail	59701
909|MT	Shelby, MT	1350 Roosevelt	59474
910|MT	Three Forks, MT	10800 Highway 287	59751
911|MT	Superior, MT	27 Diamond Road	59872
912|NE	Wood River, NE	I-80 and Highway 11 Exit 300	68883
913|IA	Altoona, IA	3231 Adventureland Drive I-80 & US 65	50009
914|MT	Missoula, MT	8475 Hwy 93 N Suite B	59808
915|MT	Billings, MT	2711 N. Frontage Road	59101
916|MT	Lolo, MT	11882 Highway 93 S	59847
917|MT	Great Falls, MT	3100 Tri-Hill Frontage Road	59404
918|SD	Rapid City, SD	2783 Deadwood Avenue	57702
920|KS	Colby, KS	1100 East Willow Street	67701
922|MT	Columbia Falls, MT	6102 Highway 2 West	59912
923|MT	Billings, MT	2775 Old Hardin Road	59101
924|MT	Butte, MT	122000 W. Browns Gulch Road	59701
931|SD	Rapid City, SD	4200 N I-90 Service Rd Exit 61	57701
934|OR	La Grande, OR	I-84 & Exit 265 PO Box 3298	97850
966|NV	Battle Mountain, NV	650 W Front Street	89820
967|WA	Spokane, WA	E 6606 Broadway	99212
1001|TX	Big Lake, TX		
1003|TX	Childress, TX		
1004|OK	Tonkawa, OK		
1005|NV	Fernley, NV		
1006|TX	Junction, TX		
1009|CA	Jurupa Valley, CA		
1012|IA	Mt. Pleasant, IA		
1013|MT	Belgrade, MT		
1014|MT	Glendive, MT		
1015|MT	Sidney, MT		
1017|CA	Lathrop, CA		
1019|CA	Orland, CA		
1021|MI	Holland, MI		
1023|TX	Lufkin, TX		
1024|IL	Joliet, IL		
1025|TX	Channelview, TX		
1027|TX	Vega, TX		
1028|TX	Buffalo, TX		
1030|IL	Alsip, IL		
1033|TX	Midland, TX		
1041|IL	Carol Stream, IL		
1042|IL	Bridgeview, IL		
1043|ID	Idaho Falls, ID		
1046|FL	South Bay, FL		
1047|FL	Jacksonville, FL		
1049|VA	Suffolk, VA		
1051|LA	Iowa, LA		
1054|TX	Buda, TX		
1056|OH	Edon, OH		
1057|TX	Pasadena, TX		
1058|FL	Waldo, FL		
